,存貨數量,價格,折數,可否搭配購買,可否大量批貨購買,歷史銷售量,可否分期付款,是否官方賣家帳號,是否可預購,喜愛數量,評價數量,五星,四星,三星,二星,一星,評分,產品銷售金額 
233,1849,324,0,FALSE,FALSE,84,FALSE,FALSE,FALSE,53,58,58,0,0,0,0,5,27216
234,13308,199,4.4,FALSE,FALSE,8,TRUE,FALSE,TRUE,8,4,3,0,1,0,0,4.5,1592
235,6,462,3.9,FALSE,FALSE,0,FALSE,FALSE,TRUE,2,0,0,0,0,0,0,0,0
236,47992,121,9.8,FALSE,FALSE,0,FALSE,FALSE,FALSE,6,0,0,0,0,0,0,0,0
237,433,189,0,FALSE,FALSE,3255,TRUE,FALSE,FALSE,685,1109,1094,13,2,0,0,4.984670875,615195
238,1580,133,1.1,FALSE,FALSE,0,FALSE,FALSE,TRUE,11,0,0,0,0,0,0,0,0
239,29276,350,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,2,0,0,0,0,0,0,0,0
240,47992,121,9.8,FALSE,FALSE,0,FALSE,FALSE,FALSE,6,0,0,0,0,0,0,0,0
241,51456,86,8.6,FALSE,FALSE,24,FALSE,FALSE,FALSE,18,9,7,2,0,0,0,4.777777778,2064
242,29276,350,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,2,0,0,0,0,0,0,0,0
243,6,462,3.9,FALSE,FALSE,0,FALSE,FALSE,TRUE,3,0,0,0,0,0,0,0,0
244,157,148,9.3,FALSE,FALSE,6444,TRUE,FALSE,FALSE,2835,2238,2149,75,14,0,0,4.953976765,953712
245,1,350,0,FALSE,FALSE,28,FALSE,FALSE,FALSE,32,14,11,1,2,0,0,4.642857143,9800
246,7757,97,6.3,FALSE,FALSE,203,TRUE,TRUE,FALSE,261,70,64,5,0,0,1,4.871428571,19691
247,310,264,0,FALSE,FALSE,1261,TRUE,FALSE,FALSE,742,531,511,19,1,0,0,4.960451977,332904
248,1896,207,0,FALSE,FALSE,22,TRUE,FALSE,FALSE,22,12,11,1,0,0,0,4.916666667,4554
249,1509,130,0,FALSE,FALSE,8,FALSE,FALSE,FALSE,15,3,2,1,0,0,0,4.666666667,1040
250,68,258,4.4,FALSE,FALSE,2646,FALSE,FALSE,FALSE,691,1255,1206,37,3,0,2,4.959101844,682668
251,503,99,5.4,FALSE,FALSE,9,TRUE,FALSE,FALSE,3,2,2,0,0,0,0,5,891
252,23,280,0,FALSE,FALSE,619,FALSE,FALSE,FALSE,436,336,318,9,3,2,0,4.935779817,173320
253,163,59,5.4,TRUE,FALSE,1514,TRUE,FALSE,FALSE,180,373,350,18,2,1,2,4.91152815,89326
254,5,109,0,FALSE,FALSE,468,FALSE,FALSE,FALSE,134,193,179,10,4,0,0,4.906735751,51012
255,245,364,5.8,FALSE,FALSE,23,TRUE,FALSE,FALSE,26,8,8,0,0,0,0,5,8372
256,25,300,0,FALSE,FALSE,117,FALSE,FALSE,FALSE,112,63,63,0,0,0,0,5,35100
257,11148,108,6.5,FALSE,FALSE,13,TRUE,TRUE,FALSE,10,3,3,0,0,0,0,5,1404
258,1925,141,5,FALSE,FALSE,141,FALSE,FALSE,TRUE,85,47,42,3,2,0,0,4.85106383,19881
259,19,250,0,FALSE,FALSE,81,FALSE,FALSE,FALSE,90,35,35,0,0,0,0,5,20250
260,1794,265,0,FALSE,FALSE,4,FALSE,FALSE,TRUE,4,2,1,0,1,0,0,4,1060
261,3689,99,5.2,FALSE,FALSE,193,FALSE,FALSE,FALSE,103,76,65,5,4,1,1,4.736842105,19107
262,248916,78,3.8,FALSE,FALSE,1030,TRUE,TRUE,FALSE,420,253,230,16,5,1,1,4.869565217,80340
263,64,99,1.7,FALSE,FALSE,22,TRUE,FALSE,FALSE,7,11,9,2,0,0,0,4.818181818,2178
264,3409,169,0,FALSE,FALSE,0,FALSE,FALSE,TRUE,7,0,0,0,0,0,0,0,0
265,3,299,0,FALSE,FALSE,773,TRUE,FALSE,FALSE,566,455,446,9,0,0,0,4.98021978,231127
266,15981,149,0,FALSE,FALSE,72,FALSE,FALSE,TRUE,51,20,20,0,0,0,0,5,10728
267,510,205,0,FALSE,FALSE,684,FALSE,FALSE,FALSE,325,225,219,4,2,0,0,4.964444444,140220
268,3,120,6,FALSE,FALSE,104,FALSE,FALSE,FALSE,43,41,40,0,1,0,0,4.951219512,12480
269,48891,19,2.2,FALSE,FALSE,857,FALSE,FALSE,FALSE,89,173,167,4,2,0,0,4.953757225,16283
270,2,229,0,FALSE,FALSE,10,FALSE,FALSE,FALSE,15,5,5,0,0,0,0,5,2290
271,3,219,0,FALSE,FALSE,148,FALSE,FALSE,FALSE,111,75,72,1,2,0,0,4.933333333,32412
272,6,89,0,FALSE,FALSE,109,TRUE,FALSE,TRUE,88,48,46,2,0,0,0,4.958333333,9701
273,21,359,0,FALSE,FALSE,139,FALSE,FALSE,FALSE,98,81,80,1,0,0,0,4.987654321,49901
274,1506,250,4,FALSE,FALSE,84,TRUE,FALSE,FALSE,48,35,33,2,0,0,0,4.942857143,21000
275,1935,311,0,FALSE,FALSE,4,TRUE,FALSE,FALSE,3,3,2,0,1,0,0,4.333333333,1244
276,44,289,0,FALSE,FALSE,54,FALSE,FALSE,FALSE,56,23,23,0,0,0,0,5,15606
277,254,269,7.5,TRUE,FALSE,11,FALSE,FALSE,TRUE,26,5,5,0,0,0,0,5,2959
278,9986,170,7,FALSE,FALSE,0,FALSE,FALSE,FALSE,2,0,0,0,0,0,0,0,0
279,157,148,9.3,FALSE,FALSE,6444,TRUE,FALSE,FALSE,2835,2238,2149,75,14,0,0,4.953976765,953712
280,174,424,5,TRUE,FALSE,837,TRUE,FALSE,TRUE,723,406,392,12,1,1,0,4.958128079,354888
281,1085,133,0,TRUE,FALSE,4,TRUE,FALSE,TRUE,4,3,3,0,0,0,0,5,532
282,4936,94,0,FALSE,FALSE,4351,TRUE,FALSE,FALSE,1271,1546,1499,38,7,1,1,4.961836999,408994
283,11948,169,6.5,FALSE,FALSE,22,FALSE,FALSE,FALSE,21,8,8,0,0,0,0,5,3718
284,9,279,0,FALSE,FALSE,31,TRUE,FALSE,FALSE,40,14,12,2,0,0,0,4.857142857,8649
285,129,60,0,FALSE,FALSE,586,TRUE,FALSE,FALSE,137,256,244,7,4,0,1,4.941176471,35160
286,45479,175,0,FALSE,FALSE,1,TRUE,FALSE,FALSE,4,1,1,0,0,0,0,5,175
287,12,99,1.8,FALSE,FALSE,44,TRUE,FALSE,FALSE,10,18,18,0,0,0,0,5,4356
288,2,230,0,FALSE,FALSE,51,FALSE,FALSE,FALSE,27,35,35,0,0,0,0,5,11730
289,4395,531,5,FALSE,FALSE,2,FALSE,FALSE,FALSE,7,0,0,0,0,0,0,0,1062
290,5,129,0,FALSE,FALSE,48,FALSE,FALSE,FALSE,19,17,17,0,0,0,0,5,6192
291,7133,169,0,FALSE,FALSE,94,TRUE,FALSE,FALSE,61,23,23,0,0,0,0,5,15886
292,213,331,0,FALSE,FALSE,2,TRUE,FALSE,FALSE,12,1,1,0,0,0,0,5,662
293,1438,198,6.5,FALSE,FALSE,13,TRUE,TRUE,TRUE,26,7,6,1,0,0,0,4.857142857,2574
294,18349,105,0,FALSE,FALSE,158,FALSE,FALSE,TRUE,43,34,32,2,0,0,0,4.941176471,16590
295,834543,74,5,FALSE,FALSE,2,FALSE,FALSE,FALSE,12,1,1,0,0,0,0,5,148
296,556,93,0,FALSE,FALSE,4477,TRUE,FALSE,FALSE,1824,1283,1230,44,9,0,0,4.95167576,416361
297,4459,212,0,FALSE,FALSE,121,FALSE,FALSE,FALSE,99,55,49,4,1,0,1,4.818181818,25652
298,5000,355,3.9,FALSE,FALSE,0,FALSE,FALSE,TRUE,3,0,0,0,0,0,0,0,0
299,437,189,0,FALSE,FALSE,3255,TRUE,FALSE,FALSE,685,1109,1094,13,2,0,0,4.984670875,615195
