,存貨數量,價格,折數,可否搭配購買,可否大量批貨購買,歷史銷售量,可否分期付款,是否官方賣家帳號,是否可預購,喜愛數量,評價數量,五星,四星,三星,二星,一星,評分,產品銷售金額 
52,7995,327,5,FALSE,FALSE,0,FALSE,FALSE,FALSE,2,0,0,0,0,0,0,0,0
53,1788,432,0,FALSE,FALSE,89,FALSE,FALSE,TRUE,60,28,25,2,1,0,0,4.857142857,38448
54,9986,170,7,FALSE,FALSE,0,FALSE,FALSE,FALSE,2,0,0,0,0,0,0,0,0
55,352,289,0,FALSE,FALSE,5574,TRUE,FALSE,FALSE,1644,2241,2176,60,5,0,0,4.968763945,1610886
56,558,93,0,FALSE,FALSE,4468,TRUE,FALSE,FALSE,1822,1279,1226,44,9,0,0,4.951524629,415524
57,24035,215,0,FALSE,FALSE,7,FALSE,FALSE,FALSE,28,3,3,0,0,0,0,5,1505
58,12939,242,0,FALSE,FALSE,63,FALSE,FALSE,FALSE,50,26,25,1,0,0,0,4.961538462,15246
59,328,344,3.3,FALSE,FALSE,1585,TRUE,FALSE,TRUE,1018,688,667,20,1,0,0,4.968023256,545240
60,2503,60,7.6,TRUE,FALSE,29169,TRUE,FALSE,FALSE,4504,7892,7426,350,91,15,11,4.921322691,1750140
61,14336,74,1.2,TRUE,FALSE,6926,TRUE,FALSE,TRUE,2562,2676,2473,132,30,8,10,4.903505466,512524
62,319,264,0,FALSE,FALSE,1253,TRUE,FALSE,FALSE,741,528,508,19,1,0,0,4.960227273,330792
63,14912,2338,0,FALSE,FALSE,76,FALSE,FALSE,FALSE,98,24,22,2,0,0,0,4.916666667,177688
64,1241,244,0,FALSE,FALSE,2797,TRUE,FALSE,FALSE,950,1053,1025,27,1,0,0,4.972459639,682468
65,11802,177,5.5,FALSE,FALSE,2,FALSE,FALSE,TRUE,3,1,1,0,0,0,0,5,354
66,19562,200,0,FALSE,FALSE,21,FALSE,FALSE,TRUE,17,9,8,1,0,0,0,4.888888889,4200
67,111,71,0,FALSE,FALSE,2366,TRUE,FALSE,FALSE,745,1056,1025,23,6,1,1,4.960227273,167986
