,商品ID,賣家ID,存貨數量,價格,折數,可否搭配購買,可否大量批貨購買,歷史銷售量,可否分期付款,是否官方賣家帳號,是否可預購,喜愛數量,商家地點,評價數量,五星,四星,三星,二星,一星,評分
42,14232403799,52092724,14062,93,6.2,FALSE,FALSE,867,FALSE,FALSE,FALSE,595,中國大陸,276,257,15,4,0,0,4.916666667
43,23805666529,12325503,504,99,5.4,FALSE,FALSE,258,TRUE,FALSE,FALSE,192,桃園市蘆竹區,92,89,1,2,0,0,4.945652174
44,3668550526,3160208,129,60,,FALSE,FALSE,585,TRUE,FALSE,FALSE,137,臺中市太平區,256,244,7,4,0,1,4.941176471
45,19866842070,778020444,1451,511,,FALSE,FALSE,1,FALSE,FALSE,TRUE,7,桃園市大園區,1,1,0,0,0,0,5
46,18652034613,3160208,49,69,7,FALSE,FALSE,850,TRUE,FALSE,FALSE,238,臺中市太平區,353,346,6,0,0,1,4.971671388
47,1002605899,16958040,23607,29,8.1,FALSE,FALSE,1133,FALSE,FALSE,TRUE,143,中國大陸,270,254,9,4,1,2,4.896296296
48,5758680232,9871310,6,250,,FALSE,FALSE,54,FALSE,FALSE,FALSE,40,臺南市永康區,32,30,2,0,0,0,4.9375
49,11898205656,57697690,64,99,1.7,FALSE,FALSE,22,TRUE,FALSE,FALSE,7,桃園市桃園區,11,9,2,0,0,0,4.818181818
50,13697360030,5607361,105,59,8.6,TRUE,FALSE,31,TRUE,FALSE,FALSE,4,新北市新莊區,11,10,1,0,0,0,4.909090909
51,17990361403,16958040,9706,56,,FALSE,FALSE,88,FALSE,FALSE,TRUE,29,中國大陸,29,28,1,0,0,0,4.965517241
52,21662977845,2495520,7995,327,5,FALSE,FALSE,0,FALSE,FALSE,FALSE,2,桃園市大園區,0,0,0,0,0,0,0
53,16188231264,10119136,1788,432,,FALSE,FALSE,89,FALSE,FALSE,TRUE,60,新北市土城區,28,25,2,1,0,0,4.857142857
54,21153506468,7349697,9986,170,7,FALSE,FALSE,0,FALSE,FALSE,FALSE,2,桃園市蘆竹區,0,0,0,0,0,0,0
55,7055970808,128404466,352,289,,FALSE,FALSE,5574,TRUE,FALSE,FALSE,1644,彰化縣員林市,2241,2176,60,5,0,0,4.968763945
56,6261345403,6169347,558,93,,FALSE,FALSE,4468,TRUE,FALSE,FALSE,1822,桃園市平鎮區,1279,1226,44,9,0,0,4.951524629
57,18560899218,855712441,24035,215,,FALSE,FALSE,7,FALSE,FALSE,FALSE,28,桃園市蘆竹區,3,3,0,0,0,0,5
58,18849331914,6546803,12939,242,,FALSE,FALSE,63,FALSE,FALSE,FALSE,50,臺北市中正區,26,25,1,0,0,0,4.961538462
59,5967762556,61939449,328,344,3.3,FALSE,FALSE,1585,TRUE,FALSE,TRUE,1018,臺中市南區,688,667,20,1,0,0,4.968023256
60,1658631690,171979,2503,60,7.6,TRUE,FALSE,29169,TRUE,FALSE,FALSE,4504,雲林縣斗六市,7892,7426,350,91,15,11,4.921322691
61,647538838,32587376,14336,74,1.2,TRUE,FALSE,6926,TRUE,FALSE,TRUE,2562,臺南市歸仁區,2676,2473,132,30,8,10,4.903505466
62,21148437337,128404466,319,264,,FALSE,FALSE,1253,TRUE,FALSE,FALSE,741,彰化縣員林市,528,508,19,1,0,0,4.960227273
63,19327797116,42708762,14912,2338,,FALSE,FALSE,76,FALSE,FALSE,FALSE,98,苗栗縣竹南鎮,24,22,2,0,0,0,4.916666667
64,13318829150,128404466,1241,244,,FALSE,FALSE,2797,TRUE,FALSE,FALSE,950,彰化縣員林市,1053,1025,27,1,0,0,4.972459639
65,22708957312,464631,11802,177,5.5,FALSE,FALSE,2,FALSE,FALSE,TRUE,3,桃園市大園區,1,1,0,0,0,0,5
66,11397857387,778020444,19562,200,,FALSE,FALSE,21,FALSE,FALSE,TRUE,17,桃園市大園區,9,8,1,0,0,0,4.888888889
67,12021190176,3160208,111,71,,FALSE,FALSE,2366,TRUE,FALSE,FALSE,745,臺中市太平區,1056,1025,23,6,1,1,4.960227273
68,12247122898,512304075,8,79,,FALSE,FALSE,143,TRUE,FALSE,FALSE,24,新北市泰山區,60,57,3,0,0,0,4.95
69,19043150537,778020444,113197,91,,FALSE,FALSE,74,FALSE,FALSE,TRUE,42,桃園市大園區,19,18,1,0,0,0,4.947368421
70,1784072445,3160208,124,100,,FALSE,FALSE,1902,TRUE,FALSE,FALSE,438,臺中市太平區,957,936,15,4,1,1,4.968652038
71,23605911423,18786011,5092,113,5,FALSE,FALSE,0,FALSE,FALSE,FALSE,1,桃園市大園區,0,0,0,0,0,0,0
72,21154877254,6546803,1,352,4,FALSE,FALSE,7,FALSE,FALSE,TRUE,1,臺北市中正區,1,1,0,0,0,0,5
73,19862291672,778020444,1974,189,,FALSE,FALSE,25,FALSE,FALSE,TRUE,63,桃園市大園區,5,5,0,0,0,0,5
74,11570042806,2583098,553,114,,FALSE,FALSE,765,TRUE,FALSE,FALSE,211,臺中市西區,252,245,6,1,0,1,4.95256917
75,18537852751,778020444,11735,101,,FALSE,FALSE,126,FALSE,FALSE,TRUE,47,桃園市大園區,34,26,2,3,1,2,4.441176471
76,663884179,2833326,2558,115,6.4,FALSE,FALSE,1361,TRUE,FALSE,FALSE,655,臺中市太平區,599,538,44,10,2,5,4.849749583
77,20337857469,778020444,124381,101,,FALSE,FALSE,199,FALSE,FALSE,TRUE,88,桃園市大園區,42,38,3,0,0,1,4.833333333
78,15208356676,17195431,41,169,,FALSE,FALSE,334,FALSE,FALSE,FALSE,230,臺中市沙鹿區,162,153,7,2,0,0,4.932098765
